iter	Passed	Remaining
918	1808	159
919	1810	157
920	1812	155
921	1814	153
922	1819	151
923	1821	149
924	1822	147
925	1824	145
926	1825	143
927	1827	141
928	1829	139
929	1831	137
930	1833	135
931	1835	133
932	1837	131
933	1838	129
934	1840	127
935	1842	125
936	1844	123
937	1846	122
938	1847	120
939	1849	118
940	1851	116
941	1852	114
942	1854	112
943	1856	110
944	1857	108
945	1859	106
946	1861	104
947	1863	102
948	1865	100
949	1866	98
950	1868	96
951	1869	94
952	1871	92
953	1873	90
954	1875	88
955	1876	86
956	1878	84
957	1880	82
958	1882	80
959	1883	78
960	1885	76
961	1887	74
962	1889	72
963	1890	70
964	1892	68
965	1894	66
966	1896	64
967	1898	62
968	1899	60
969	1901	58
970	1903	56
971	1905	54
972	1906	52
973	1908	50
974	1910	48
975	1911	47
976	1913	45
977	1915	43
978	1917	41
979	1918	39
980	1920	37
981	1922	35
982	1923	33
983	1925	31
984	1927	29
985	1929	27
986	1930	25
987	1932	23
988	1934	21
989	1935	19
990	1937	17
991	1939	15
992	1940	13
993	1942	11
994	1944	9
995	1946	7
996	1947	5
997	1949	3
998	1950	1
999	1952	0
